K,threshold,n,TRAIN_SR,VAL_SR,TEST_SR,VT_SR,FULL_SR,VT_ret,VT_dd,TO
1,0.0000,180,1.2676,1.3526,-0.4204,0.3676,0.8324,31.4639,-60.2562,0.1610
1,0.5000,158,1.4677,1.3639,-0.4591,0.3452,0.9250,29.9714,-61.6881,0.1641
1,1.0000,103,1.8970,1.4753,-0.4931,0.3457,1.1259,31.1887,-61.4285,0.1730
1,1.5000,43,2.5977,2.3343,-0.3079,0.8331,1.7163,64.1120,-50.1116,0.1912
1,2.0000,8,2.6321,1.3135,1.0919,1.1805,2.1404,41.4377,-20.5510,0.1901
3,0.0000,176,1.1875,1.3964,-0.5013,0.3550,0.7006,29.8990,-60.7786,0.1594
3,0.5000,153,1.3821,1.4005,-0.5417,0.3252,0.7709,28.0552,-62.3980,0.1626
3,1.0000,86,1.9587,1.4666,-0.5178,0.3540,1.0391,30.6829,-59.8391,0.1757
3,1.5000,38,2.6280,1.9859,-0.3383,0.6827,1.5144,53.3791,-52.0158,0.1975
3,2.0000,6,3.0841,1.7250,-0.2312,0.6937,2.2465,20.1588,-19.2560,0.1754
5,0.0000,179,1.2269,1.4651,-0.4688,0.4083,0.7327,34.4693,-59.4554,0.1558
5,0.5000,155,1.4251,1.4917,-0.5296,0.3808,0.8110,32.2802,-60.6073,0.1613
5,1.0000,98,1.8355,1.5480,-0.4812,0.4129,1.0049,35.3854,-59.1296,0.1782
5,1.5000,36,2.6295,2.1417,-0.8492,0.5642,1.5114,40.9591,-52.3076,0.1978
5,2.0000,6,3.1121,1.8406,-0.1457,0.7909,2.2867,22.6911,-19.1247,0.1754
10,0.0000,143,0.5785,1.3549,-0.6595,0.2555,0.3478,19.7948,-59.9377,0.1727
10,0.5000,79,1.1511,1.7052,-1.0312,0.2494,0.6181,16.4093,-53.8634,0.1981
10,1.0000,30,1.9644,2.2440,-1.1194,0.5593,1.1670,31.4490,-44.9988,0.2249
10,1.5000,8,1.9952,1.8609,1.3121,1.5968,1.7349,52.4167,-17.7246,0.2398
10,2.0000,1,1.1403,2.6005,-0.1383,1.4114,1.1701,41.3532,-17.4771,0.2200
