id,raw_TRAIN,raw_VAL,raw_TEST,raw_VT,K1_TRAIN,K1_VAL,K1_TEST,K1_VT,K3_TRAIN,K3_VAL,K3_TEST,K3_VT,K5_TRAIN,K5_VAL,K5_TEST,K5_VT,K10_TRAIN,K10_VAL,K10_TEST,K10_VT
20,0.035,-1.213,-1.398,-1.286,0.153,-0.812,-1.043,-0.913,-0.194,-0.865,-1.026,-0.935,-0.337,-0.872,-1.030,-0.941,-0.805,-1.019,-0.949,-0.985
21,0.175,-0.003,1.365,0.796,0.127,-0.561,1.321,0.531,0.011,-0.655,1.347,0.510,0.130,-0.609,1.382,0.547,-0.655,-0.913,1.399,0.437
22,1.279,0.978,-1.453,-0.496,1.161,1.565,-1.459,-0.249,0.913,1.518,-1.438,-0.273,0.893,1.579,-1.436,-0.249,0.531,1.664,-1.298,-0.126
23,1.033,1.171,-0.756,0.144,0.891,0.748,-0.845,-0.110,0.759,0.791,-0.859,-0.092,0.874,0.827,-0.832,-0.060,-0.032,0.695,-0.818,-0.112
24,1.666,-0.064,-1.927,-1.018,1.632,-1.661,-1.566,-1.621,1.288,-1.545,-1.575,-1.568,1.403,-1.576,-1.500,-1.546,0.451,-1.546,-1.455,-1.505
25,1.748,-0.044,0.777,0.326,1.743,0.675,1.158,0.883,1.441,0.765,1.142,0.925,1.219,0.945,1.127,1.017,0.527,0.676,1.525,1.055
26,0.980,-1.660,1.911,0.491,0.903,-2.138,1.918,0.342,0.876,-2.134,1.933,0.335,0.910,-2.170,1.943,0.328,0.102,-2.187,1.928,0.294
27,1.878,0.687,-2.622,-0.863,1.785,1.265,-1.721,-0.058,1.623,1.279,-1.767,-0.086,1.577,1.252,-1.685,-0.064,0.990,1.431,-1.510,0.125
28,0.909,-1.689,-1.244,-1.458,0.849,-1.919,-1.165,-1.519,0.691,-1.813,-1.163,-1.470,0.808,-1.778,-1.157,-1.452,0.143,-1.926,-1.180,-1.538
29,0.845,-0.214,0.061,-0.059,0.905,-0.409,-0.008,-0.174,0.744,-0.423,-0.027,-0.194,0.830,-0.442,-0.001,-0.186,0.181,-0.614,0.010,-0.249
30,1.354,-0.689,-0.248,-0.462,1.358,-0.070,0.105,0.009,1.170,-0.155,0.091,-0.038,1.112,-0.064,0.052,-0.014,0.347,0.154,0.127,0.130
31,1.013,1.264,-0.604,0.334,0.902,1.058,-0.316,0.353,0.723,1.107,-0.388,0.343,0.731,1.186,-0.351,0.400,-0.279,0.944,-0.321,0.297
32,1.146,-0.133,0.314,0.068,1.091,-0.702,0.621,-0.094,0.910,-0.587,0.465,-0.100,0.942,-0.473,0.519,-0.013,0.356,-0.574,0.446,-0.092
33,1.407,-0.153,0.591,0.247,1.307,-0.372,0.517,0.123,1.186,-0.344,0.532,0.137,1.152,-0.329,0.552,0.154,0.432,-0.414,0.510,0.092
34,1.124,0.057,-1.128,-0.575,1.285,-0.206,-1.079,-0.683,1.027,-0.061,-1.099,-0.622,1.177,-0.051,-1.088,-0.611,0.434,-0.151,-1.153,-0.686
35,0.895,1.195,0.193,0.618,1.003,0.904,0.164,0.464,0.832,0.911,0.196,0.488,0.910,0.941,0.215,0.511,-0.063,0.862,0.244,0.499
36,1.967,2.878,-0.488,1.035,1.776,2.022,-0.214,0.843,1.710,2.070,-0.239,0.850,1.725,1.952,-0.237,0.795,1.094,2.263,-0.071,1.017
37,1.681,0.437,1.888,1.212,1.841,-0.057,0.940,0.448,2.008,0.406,0.918,0.663,2.049,0.419,0.928,0.675,1.457,0.539,1.164,0.864
38,1.580,2.000,0.760,1.183,1.547,2.269,0.836,1.273,1.521,2.279,0.791,1.263,1.436,2.308,0.784,1.269,0.666,2.091,0.737,1.175
39,1.320,-1.338,0.537,-0.228,1.305,-1.279,0.720,-0.069,1.024,-1.267,0.689,-0.085,1.051,-1.215,0.695,-0.061,-0.016,-1.384,0.722,-0.116
40,1.384,-0.675,0.874,0.186,1.320,-1.151,0.894,0.014,1.164,-1.116,0.912,0.030,1.186,-1.127,0.925,0.034,0.634,-1.044,0.873,0.034
41,1.096,1.439,-0.418,0.484,1.188,1.832,0.147,1.028,1.250,1.900,0.080,1.004,1.143,1.794,0.069,0.942,0.563,2.180,-0.002,1.102
42,0.830,1.604,-0.297,0.731,0.518,1.365,-0.094,0.670,0.514,1.343,-0.119,0.654,0.334,1.513,-0.145,0.730,-0.083,1.149,-0.181,0.523
43,2.245,0.760,0.264,0.517,2.139,1.088,0.297,0.706,2.329,1.142,0.327,0.745,2.419,1.173,0.377,0.785,1.727,1.423,0.341,0.888
44,1.542,1.703,-0.169,0.661,1.511,1.424,-0.059,0.578,1.299,1.482,-0.080,0.596,1.320,1.525,-0.102,0.603,0.318,1.435,-0.109,0.563
45,1.693,0.712,-3.274,-1.125,1.540,0.848,-3.105,-0.934,1.261,0.855,-2.641,-0.729,1.269,0.880,-2.702,-0.740,0.820,0.951,-2.552,-0.622
46,1.352,1.428,-0.263,0.485,1.196,1.324,-0.196,0.464,0.928,1.260,-0.224,0.435,0.988,1.266,-0.227,0.436,0.329,1.264,-0.305,0.402
47,0.663,0.967,0.453,0.646,0.737,0.800,0.460,0.573,0.386,0.851,0.371,0.543,0.469,0.849,0.400,0.557,-0.246,0.773,0.410,0.534
48,1.348,-0.740,-1.665,-1.197,1.289,-0.585,-1.184,-0.893,1.568,-0.516,-1.100,-0.818,1.447,-0.439,-1.026,-0.746,1.089,-0.432,-1.164,-0.808
49,0.967,2.661,0.387,1.271,0.947,2.331,0.343,1.088,0.562,2.517,0.294,1.146,0.499,2.587,0.300,1.180,-0.219,2.501,0.258,1.125
50,1.756,1.538,-0.477,0.415,1.682,1.359,-0.428,0.337,1.455,1.392,-0.496,0.321,1.484,1.446,-0.510,0.338,0.561,1.273,-0.512,0.265
51,1.521,3.689,-0.190,1.265,1.493,3.179,-0.413,0.950,1.190,3.147,-0.383,0.963,1.159,3.094,-0.376,0.944,0.839,2.986,-0.373,0.908
52,1.788,-0.572,0.375,-0.112,1.589,-0.449,0.329,-0.072,1.712,-0.200,0.409,0.095,1.666,-0.116,0.398,0.133,1.367,-0.074,0.212,0.062
53,1.023,0.840,-0.448,0.211,0.911,0.408,-0.530,-0.051,0.764,0.413,-0.456,-0.006,0.864,0.455,-0.428,0.030,0.176,0.326,-0.483,-0.061
54,2.045,2.018,-1.111,0.345,1.996,0.966,-1.374,-0.260,1.946,1.037,-1.374,-0.218,1.984,1.026,-1.328,-0.201,1.309,0.898,-1.394,-0.300
55,1.552,1.533,-0.420,0.395,1.529,1.182,-0.393,0.273,1.141,1.171,-0.420,0.248,1.170,1.180,-0.389,0.268,0.196,1.169,-0.531,0.179
56,2.058,2.049,0.258,1.115,1.948,1.898,0.255,1.022,1.596,1.852,0.328,1.038,1.541,1.884,0.358,1.072,0.655,1.692,0.366,0.985
57,1.045,1.570,-0.802,0.265,0.965,1.174,-0.833,0.049,0.924,1.215,-0.844,0.068,0.962,1.231,-0.831,0.084,-0.041,1.097,-0.824,0.036
58,1.610,1.776,-1.793,-0.063,1.460,1.263,-1.898,-0.400,1.564,1.276,-1.945,-0.407,1.674,1.334,-1.950,-0.376,1.159,1.206,-2.006,-0.462
59,1.331,-0.293,-0.745,-0.547,1.324,-0.463,-0.749,-0.634,1.197,-0.368,-0.762,-0.596,1.215,-0.292,-0.755,-0.557,0.359,-0.442,-0.826,-0.665
60,1.179,1.652,0.156,0.784,1.246,1.401,0.102,0.626,0.911,1.408,0.111,0.644,1.047,1.439,0.118,0.662,0.055,1.322,0.147,0.635
61,1.277,0.933,-0.857,0.000,1.224,0.794,-0.689,0.001,1.094,0.956,-0.784,0.035,1.176,1.043,-0.745,0.098,0.157,0.935,-0.749,0.051
62,1.065,1.473,-0.348,0.457,1.079,1.244,-0.288,0.367,0.838,1.317,-0.320,0.387,0.915,1.378,-0.332,0.409,-0.186,1.333,-0.323,0.400
63,1.289,1.540,-0.616,0.532,1.503,2.004,-0.355,0.896,1.528,1.905,-0.708,0.697,1.634,1.842,-0.774,0.630,1.115,1.837,-0.677,0.678
64,1.674,0.754,2.026,1.339,1.758,0.954,2.336,1.598,1.884,1.238,2.391,1.777,1.781,1.434,2.442,1.907,1.592,1.487,2.363,1.897
65,1.188,-0.572,0.462,-0.123,0.998,-0.316,0.487,0.022,0.881,-0.434,0.533,-0.015,0.792,-0.273,0.458,0.042,0.571,-0.505,0.525,-0.050
