Strategy,Sharpe,Fitness,TO,DD
"CorrSelect(mw=0.05,mc=0.3,n=5)",6.488,17.017,0.266,-0.032
"CorrSelect(mw=0.05,mc=0.3,n=5)",6.488,17.017,0.266,-0.032
"CorrSelect(mw=0.05,mc=0.3,n=5)",6.488,17.017,0.266,-0.032
"CorrSelect(mw=0.05,mc=0.3,n=5)",6.488,17.017,0.266,-0.032
"CorrSelect(mw=0.05,mc=0.3,n=5)",6.488,17.017,0.266,-0.032
"CorrSelect(mw=0.05,mc=0.3,n=5)",6.488,17.017,0.266,-0.032
"CorrSelect(mw=0.08,mc=0.3,n=5)",6.425,16.886,0.267,-0.034
"CorrSelect(mw=0.08,mc=0.3,n=5)",6.425,16.886,0.267,-0.034
"CorrSelect(mw=0.08,mc=0.3,n=5)",6.425,16.886,0.267,-0.034
"CorrSelect(mw=0.08,mc=0.3,n=5)",6.425,16.886,0.267,-0.034
"CorrSelect(mw=0.08,mc=0.3,n=5)",6.425,16.886,0.267,-0.034
"CorrSelect(mw=0.08,mc=0.3,n=5)",6.425,16.886,0.267,-0.034
"CorrSelect(mw=0.05,mc=0.4,n=7)",6.233,17.439,0.241,-0.043
"CorrSelect(mw=0.05,mc=0.4,n=7)",6.233,17.439,0.241,-0.043
"CorrSelect(mw=0.05,mc=0.4,n=7)",6.233,17.439,0.241,-0.043
"CorrSelect(mw=0.05,mc=0.4,n=7)",6.233,17.439,0.241,-0.043
"CorrSelect(mw=0.05,mc=0.4,n=7)",6.233,17.439,0.241,-0.043
"CorrSelect(mw=0.05,mc=0.4,n=7)",6.233,17.439,0.241,-0.043
"CorrSelect(mw=0.03,mc=0.3,n=4)",6.208,14.858,0.284,-0.031
"CorrSelect(mw=0.03,mc=0.3,n=4)",6.208,14.858,0.284,-0.031
"CorrSelect(mw=0.03,mc=0.3,n=4)",6.208,14.858,0.284,-0.031
"CorrSelect(mw=0.03,mc=0.3,n=4)",6.208,14.858,0.284,-0.031
"CorrSelect(mw=0.03,mc=0.3,n=4)",6.208,14.858,0.284,-0.031
"CorrSelect(mw=0.03,mc=0.3,n=4)",6.208,14.858,0.284,-0.031
"CorrSelect(mw=0.08,mc=0.4,n=7)",6.152,17.438,0.242,-0.042
"CorrSelect(mw=0.08,mc=0.4,n=7)",6.152,17.438,0.242,-0.042
"CorrSelect(mw=0.08,mc=0.4,n=7)",6.152,17.438,0.242,-0.042
"CorrSelect(mw=0.08,mc=0.4,n=7)",6.152,17.438,0.242,-0.042
"CorrSelect(mw=0.08,mc=0.4,n=7)",6.152,17.438,0.242,-0.042
"CorrSelect(mw=0.08,mc=0.4,n=7)",6.152,17.438,0.242,-0.042
"CorrSelect(mw=0.03,mc=0.4,n=7)",6.142,17.011,0.220,-0.035
"CorrSelect(mw=0.03,mc=0.4,n=7)",6.142,17.011,0.220,-0.035
"CorrSelect(mw=0.03,mc=0.4,n=7)",6.142,17.011,0.220,-0.035
"CorrSelect(mw=0.03,mc=0.4,n=7)",6.142,17.011,0.220,-0.035
"CorrSelect(mw=0.03,mc=0.4,n=7)",6.142,17.011,0.220,-0.035
"CorrSelect(mw=0.03,mc=0.4,n=7)",6.142,17.011,0.220,-0.035
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=180,n=5)",5.668,14.975,0.235,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=180,n=5)",5.668,14.975,0.235,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=180,n=5)",5.668,14.975,0.235,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=180,n=5)",5.668,14.975,0.235,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=180,n=5)",5.668,14.975,0.235,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=180,n=7)",5.598,15.894,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=180,n=7)",5.598,15.894,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=180,n=7)",5.598,15.894,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=180,n=7)",5.598,15.894,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=180,n=7)",5.598,15.894,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=280,n=5)",5.571,14.441,0.237,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=280,n=5)",5.571,14.441,0.237,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=280,n=5)",5.571,14.441,0.237,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=280,n=5)",5.571,14.441,0.237,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=280,n=5)",5.571,14.441,0.237,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=240,n=5)",5.550,14.460,0.236,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=240,n=5)",5.550,14.460,0.236,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=240,n=5)",5.550,14.460,0.236,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=240,n=5)",5.550,14.460,0.236,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=240,n=5)",5.550,14.460,0.236,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=180,n=7)",5.509,15.781,0.216,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=180,n=7)",5.509,15.781,0.216,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=180,n=7)",5.509,15.781,0.216,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=180,n=7)",5.509,15.781,0.216,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=180,n=7)",5.509,15.781,0.216,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=180,n=5)",5.506,14.423,0.239,-0.044
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=180,n=5)",5.506,14.423,0.239,-0.044
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=180,n=5)",5.506,14.423,0.239,-0.044
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=180,n=5)",5.506,14.423,0.239,-0.044
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=180,n=5)",5.506,14.423,0.239,-0.044
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=240,n=7)",5.458,15.139,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=240,n=7)",5.458,15.139,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=240,n=7)",5.458,15.139,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=240,n=7)",5.458,15.139,0.213,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=240,n=7)",5.458,15.139,0.213,-0.056
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=280,n=5)",5.449,14.008,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=280,n=5)",5.449,14.008,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=280,n=5)",5.449,14.008,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=280,n=5)",5.449,14.008,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=280,n=5)",5.449,14.008,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=240,n=5)",5.425,14.015,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=240,n=5)",5.425,14.015,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=240,n=5)",5.425,14.015,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=240,n=5)",5.425,14.015,0.240,-0.045
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=240,n=5)",5.425,14.015,0.240,-0.045
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=280,n=7)",5.405,14.877,0.214,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=280,n=7)",5.405,14.877,0.214,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=280,n=7)",5.405,14.877,0.214,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=280,n=7)",5.405,14.877,0.214,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=280,n=7)",5.405,14.877,0.214,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=9)",5.391,14.607,0.228,-0.064
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=7)",5.366,15.067,0.215,-0.055
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.5,n=9)",5.362,13.648,0.270,-0.054
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelect(mw=0.08,mc=0.6,n=13)",5.357,13.745,0.267,-0.046
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=7)",5.353,14.690,0.197,-0.047
