symbol,shortable,shortableShares,last_close,shortable_dollars,shortable_indicator,fee_rate,status
ABEO,True,3142268,5.505,17298185.34,,,AVAILABLE
ABXL,True,54603,25.76,1406573.28,,,AVAILABLE
ACCO,True,3555665,3.325,11822586.12,,,AVAILABLE
ACEL,True,875640,11.88,10402603.2,,,AVAILABLE
ACIC,True,1030861,11.955,12323943.26,,,AVAILABLE
ACNB,True,78962,51.44,4061805.28,,,AVAILABLE
ACRS,True,2664098,4.205,11202532.09,,,AVAILABLE
ACTG,True,2055975,5.016,10312770.6,,,AVAILABLE
ADV,True,1323,31.75,42005.25,,,AVAILABLE
AENT,True,6906,7.3,50413.8,,,AVAILABLE
AFGB,True,60711,21.03,1276752.33,,,AVAILABLE
AFGC,True,115898,18.88,2188154.24,,,AVAILABLE
AFGD,True,79833,20.31,1621408.23,,,AVAILABLE
AFGE,True,75788,16.65,1261870.2,,,AVAILABLE
AGL,True,204220,27.28,5571121.6,,,AVAILABLE
AIOT,True,2395766,3.4753,8326005.58,,,AVAILABLE
AIZN,True,36617,20.095,735818.61,,,AVAILABLE
AKBA,True,4114605,1.4347,5903223.79,,,AVAILABLE
ALCO,True,147650,43.46,6416869.0,,,AVAILABLE
ALEC,True,2054227,2.715,5577226.3,,,AVAILABLE
ALRS,True,350888,25.635,8995013.88,,,AVAILABLE
ALTI,True,891013,3.8397,3421222.62,,,AVAILABLE
ALTO,True,3197379,4.9248,15746452.1,,,AVAILABLE
AMAL,True,148181,43.6,6460691.6,,,AVAILABLE
AMCX,True,1556214,8.72,13570186.08,,,AVAILABLE
AMTB,True,1021195,23.885,24391242.58,,,AVAILABLE
ANGO,True,957926,10.92,10460551.92,,,AVAILABLE
AOSL,True,547264,40.7052,22276490.57,,,AVAILABLE
APC,True,705551,18.409,12988488.36,,,AVAILABLE
APOS,True,58522,25.9,1515719.8,,,AVAILABLE
AQNB,True,81403,25.9,2108337.7,,,AVAILABLE
AQST,True,249583,4.3001,1073231.86,,,AVAILABLE
ARDT,True,804257,10.12,8139080.84,,,AVAILABLE
ARKO,True,1464392,6.94,10162880.48,,,AVAILABLE
ARMP,True,153356,12.55,1924617.8,,,AVAILABLE
AROW,True,194371,37.215,7233516.77,,,AVAILABLE
ARTNA,True,166827,32.8046,5472693.0,,,AVAILABLE
ARTV,True,284227,14.4001,4092897.22,,,AVAILABLE
ASA,True,112570,69.595,7834309.15,,,AVAILABLE
ASBA,True,11966,24.97,298791.02,,,AVAILABLE
ASLE,True,1458206,6.88,10032457.28,,,AVAILABLE
ASMB,True,264054,28.2,7446322.8,,,AVAILABLE
ATHS,True,151790,24.925,3783365.75,,,AVAILABLE
ATLC,True,65391,72.4531,4737780.66,,,AVAILABLE
ATNI,True,205364,28.4,5832337.6,,,AVAILABLE
AURA,True,798933,7.015,5604515.0,,,AVAILABLE
AVIR,True,1453446,5.74,8342780.04,,,AVAILABLE
BALY,True,8035,11.88,95455.8,,,AVAILABLE
BAND,True,743587,24.1588,17964169.62,,,AVAILABLE
BATRA,True,50139,53.76,2695472.64,,,AVAILABLE
BBCP,True,583295,7.67,4473872.65,,,AVAILABLE
BBDC,True,1216306,9.0175,10968039.36,,,AVAILABLE
BCAL,True,1193197,18.7596,22383898.44,,,AVAILABLE
BCML,True,84677,28.775,2436580.67,,,AVAILABLE
BEPH,True,536381,14.9527,8020344.18,,,AVAILABLE
BEPI,True,527251,15.62,8235660.62,,,AVAILABLE
BFST,True,545091,29.18,15905755.38,,,AVAILABLE
BHB,True,242217,34.505,8357697.59,,,AVAILABLE
