date,pnl_dollars,pnl_bps_equity,equity_curve,drawdown_dollars
2016-01-04,0.0,0.0,0.0,0.0
2016-01-05,0.0,0.0,0.0,0.0
2016-01-06,0.0,0.0,0.0,0.0
2016-01-07,0.0,0.0,0.0,0.0
2016-01-08,0.0,0.0,0.0,0.0
2016-01-11,0.0,0.0,0.0,0.0
2016-01-12,0.0,0.0,0.0,0.0
2016-01-13,0.0,0.0,0.0,0.0
2016-01-14,0.0,0.0,0.0,0.0
2016-01-15,0.0,0.0,0.0,0.0
2016-01-19,0.0,0.0,0.0,0.0
2016-01-20,0.0,0.0,0.0,0.0
2016-01-21,0.0,0.0,0.0,0.0
2016-01-22,0.0,0.0,0.0,0.0
2016-01-25,0.0,0.0,0.0,0.0
2016-01-26,0.0,0.0,0.0,0.0
2016-01-27,0.0,0.0,0.0,0.0
2016-01-28,0.0,0.0,0.0,0.0
2016-01-29,0.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0
2016-02-02,0.0,0.0,0.0,0.0
2016-02-03,0.0,0.0,0.0,0.0
2016-02-04,0.0,0.0,0.0,0.0
2016-02-05,0.0,0.0,0.0,0.0
2016-02-08,0.0,0.0,0.0,0.0
2016-02-09,0.0,0.0,0.0,0.0
2016-02-10,0.0,0.0,0.0,0.0
2016-02-11,0.0,0.0,0.0,0.0
2016-02-12,0.0,0.0,0.0,0.0
2016-02-16,0.0,0.0,0.0,0.0
2016-02-17,0.0,0.0,0.0,0.0
2016-02-18,0.0,0.0,0.0,0.0
2016-02-19,0.0,0.0,0.0,0.0
2016-02-22,0.0,0.0,0.0,0.0
2016-02-23,0.0,0.0,0.0,0.0
2016-02-24,0.0,0.0,0.0,0.0
2016-02-25,0.0,0.0,0.0,0.0
2016-02-26,0.0,0.0,0.0,0.0
2016-02-29,0.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0
2016-03-02,0.0,0.0,0.0,0.0
2016-03-03,0.0,0.0,0.0,0.0
2016-03-04,0.0,0.0,0.0,0.0
2016-03-07,0.0,0.0,0.0,0.0
2016-03-08,0.0,0.0,0.0,0.0
2016-03-09,0.0,0.0,0.0,0.0
2016-03-10,0.0,0.0,0.0,0.0
2016-03-11,0.0,0.0,0.0,0.0
2016-03-14,0.0,0.0,0.0,0.0
2016-03-15,0.0,0.0,0.0,0.0
2016-03-16,0.0,0.0,0.0,0.0
2016-03-17,0.0,0.0,0.0,0.0
2016-03-18,0.0,0.0,0.0,0.0
2016-03-21,0.0,0.0,0.0,0.0
2016-03-22,0.0,0.0,0.0,0.0
2016-03-23,0.0,0.0,0.0,0.0
2016-03-24,0.0,0.0,0.0,0.0
2016-03-28,0.0,0.0,0.0,0.0
2016-03-29,0.0,0.0,0.0,0.0
2016-03-30,-549.0450758936518,-49.91318871760471,-549.0450758936518,-549.0450758936518
2016-03-31,-1291.3327017962365,-117.39388198147604,-1840.3777776898883,-1840.3777776898883
2016-04-01,-2314.3048351807925,-210.3913486527993,-4154.682612870681,-4154.682612870681
2016-04-04,816.1831049884629,74.19846408986027,-3338.4995078822176,-3338.4995078822176
2016-04-05,-2268.6694809469323,-206.24268008608476,-5607.168988829149,-5607.168988829149
2016-04-06,774.7640440789033,70.43309491626394,-4832.404944750246,-4832.404944750246
2016-04-07,-733.9553713896515,-66.72321558087741,-5566.360316139897,-5566.360316139897
2016-04-08,1983.4708437328363,180.31553124843967,-3582.8894724070606,-3582.8894724070606
2016-04-11,-1337.5122506854952,-121.59202278959047,-4920.401723092556,-4920.401723092556
2016-04-12,-1120.9473054408581,-101.90430049462346,-6041.349028533414,-6041.349028533414
2016-04-13,-104.60304412107962,-9.509367647370874,-6145.952072654493,-6145.952072654493
2016-04-14,-702.2046188937084,-63.83678353579167,-6848.156691548202,-6848.156691548202
2016-04-15,-86.35004217796421,-7.8500038343603835,-6934.506733726166,-6934.506733726166
2016-04-18,591.35471468461,53.75951951678273,-6343.152019041556,-6343.152019041556
2016-04-19,205.25498254828176,18.659543868025615,-6137.897036493274,-6137.897036493274
2016-04-20,-761.0705267234164,-69.18822970212877,-6898.96756321669,-6898.96756321669
2016-04-21,550.0091145596357,50.000828596330514,-6348.958448657055,-6348.958448657055
2016-04-22,382.8249912385712,34.8022719307792,-5966.133457418484,-5966.133457418484
2016-04-25,416.5417968164726,37.867436074224784,-5549.591660602011,-5549.591660602011
2016-04-26,-2100.4490751910976,-190.9499159264634,-7650.040735793109,-7650.040735793109
2016-04-27,46.334381266507705,4.212216478773428,-7603.706354526601,-7603.706354526601
2016-04-28,-3883.254901053052,-353.02317282300476,-11486.961255579652,-11486.961255579652
2016-04-29,-1687.9012168343818,-153.44556516676198,-13174.862472414034,-13174.862472414034
2016-05-02,-45.08498198092235,-4.098634725538395,-13219.947454394956,-13219.947454394956
2016-05-03,484.9613491275977,44.08739537523616,-12734.986105267359,-12734.986105267359
2016-05-04,-1521.4424456053425,-138.31294960048567,-14256.4285508727,-14256.4285508727
2016-05-05,2969.2041722964555,269.9276520269505,-11287.224378576246,-11287.224378576246
2016-05-06,2067.0338571673365,187.91216883339422,-9220.19052140891,-9220.19052140891
2016-05-09,-979.2234146073426,-89.02031041884932,-10199.413936016252,-10199.413936016252
2016-05-10,1882.8256577702318,171.16596888820288,-8316.58827824602,-8316.58827824602
2016-05-11,-961.8343226382008,-87.43948387620007,-9278.42260088422,-9278.42260088422
2016-05-12,-3204.894961490248,-291.35408740820435,-12483.317562374468,-12483.317562374468
2016-05-13,-681.4334523981775,-61.948495672561585,-13164.751014772646,-13164.751014772646
2016-05-16,2044.980452731897,185.90731388471792,-11119.770562040749,-11119.770562040749
2016-05-17,1206.30201003864,109.66381909442183,-9913.468552002108,-9913.468552002108
2016-05-18,-1881.4963778488427,-171.0451252589857,-11794.96492985095,-11794.96492985095
2016-05-19,-1400.0423679260962,-127.27657890237238,-13195.007297777047,-13195.007297777047
2016-05-20,326.1252199922959,29.647747272026905,-12868.88207778475,-12868.88207778475
2016-05-23,-517.568128377259,-47.05164803429627,-13386.45020616201,-13386.45020616201
2016-05-24,-476.4208530501271,-43.310986640920646,-13862.871059212137,-13862.871059212137
2016-05-25,997.2389547425533,90.65808679477757,-12865.632104469583,-12865.632104469583
2016-05-26,-365.4750862892588,-33.22500784447807,-13231.107190758841,-13231.107190758841
2016-05-27,-224.40391674949956,-20.400356068136322,-13455.51110750834,-13455.51110750834
2016-05-31,-3723.8661633362453,-338.5332875760223,-17179.377270844587,-17179.377270844587
2016-06-01,-696.7533011340875,-63.341209194007945,-17876.130571978676,-17876.130571978676
2016-06-02,-392.2044702861265,-35.65495184419331,-18268.335042264804,-18268.335042264804
2016-06-03,100.87226390243836,9.170205809312577,-18167.462778362365,-18167.462778362365
2016-06-06,1089.3422493936614,99.03111358124194,-17078.120528968706,-17078.120528968706
2016-06-07,281.0957738768043,25.55416126152766,-16797.0247550919,-16797.0247550919
2016-06-08,1.4206650581755866,0.12915136892505333,-16795.604090033725,-16795.604090033725
2016-06-09,248.95868388466073,22.63260762587825,-16546.645406149066,-16546.645406149066
2016-06-10,730.8457745582904,66.44052495984458,-15815.799631590775,-15815.799631590775
2016-06-13,-2034.0293377632452,-184.91175797847683,-17849.82896935402,-17849.82896935402
2016-06-14,-780.9102067977299,-70.99183698161181,-18630.73917615175,-18630.73917615175
2016-06-15,525.4958053029889,47.77234593663535,-18105.243370848762,-18105.243370848762
2016-06-16,-45.69389173162756,-4.1539901574206874,-18150.93726258039,-18150.93726258039
2016-06-17,1146.1264921593754,104.19331746903413,-17004.810770421016,-17004.810770421016
2016-06-20,-122.75882592563443,-11.159893265966765,-17127.56959634665,-17127.56959634665
2016-06-21,96.65553850995741,8.786867137268857,-17030.914057836693,-17030.914057836693
2016-06-22,359.7859609264107,32.7078146296737,-16671.12809691028,-16671.12809691028
2016-06-23,-2050.4683152321363,-186.40621047564875,-18721.59641214242,-18721.59641214242
2016-06-24,-670.1549520506793,-60.92317745915266,-19391.751364193096,-19391.751364193096
2016-06-27,594.7306767953598,54.06642516321453,-18797.020687397737,-18797.020687397737
2016-06-28,1736.0091560940364,157.81901419036694,-17061.011531303702,-17061.011531303702
2016-06-29,2385.3165514050243,216.84695921863857,-14675.694979898679,-14675.694979898679
2016-06-30,1589.9335778811833,144.53941617101665,-13085.761402017495,-13085.761402017495
2016-07-01,758.138222744707,68.92165661315518,-12327.623179272789,-12327.623179272789
2016-07-05,1152.1306583994137,104.73915076358307,-11175.492520873375,-11175.492520873375
2016-07-06,2490.8488600455375,226.44080545868525,-8684.643660827838,-8684.643660827838
2016-07-07,1998.7656871517613,181.70597155925103,-6685.877973676077,-6685.877973676077
2016-07-08,-643.3473446690938,-58.486122242644896,-7329.225318345171,-7329.225318345171
2016-07-11,345.10610580835316,31.373282346213923,-6984.119212536818,-6984.119212536818
2016-07-12,3612.5531936741954,328.4139266976541,-3371.5660188626225,-3371.5660188626225
2016-07-13,-35.828753441706795,-3.2571594037915266,-3407.3947723043293,-3407.3947723043293
