alpha_id,base_TR,base_VT,best_TR,best_VT,d_VT
211,-0.887,1.287,-0.317,1.914,0.627
212,-3.151,0.332,-2.926,0.937,0.606
213,-0.459,-0.169,-0.851,0.982,1.152
214,-2.118,-0.738,-2.342,0.867,1.605
215,-1.497,0.553,-1.366,1.865,1.312
216,-3.255,-0.809,-3.030,0.071,0.879
217,-1.645,-0.516,-1.354,0.549,1.065
218,-2.244,-0.084,-2.184,0.758,0.842
219,-1.692,-0.827,-1.341,-0.054,0.773
220,0.413,0.815,-0.818,1.089,0.274
221,-0.952,-1.325,-1.746,-0.553,0.772
222,0.340,-1.034,0.685,-0.132,0.902
223,1.170,-1.769,0.170,-0.386,1.383
224,-0.388,-2.551,-1.292,-1.014,1.538
225,1.003,-2.111,0.466,-2.081,0.030
226,0.349,-0.331,0.105,0.618,0.948
227,-0.584,-1.634,-1.043,-1.449,0.185
228,0.345,-2.410,-0.301,-2.213,0.197
