alpha_id,base_TRAIN,base_VT,best_TRAIN,best_VT,delta_TRAIN,delta_VT,name
211,-0.887,1.287,-0.765,0.546,0.122,-0.741,"zscore_cs(multiply(ts_rank(sma(vwap_deviation, 90)"
212,-3.151,0.332,-3.948,-0.841,-0.798,-1.173,zscore_cs(multiply(ts_rank(ts_zscore(close_positio
213,-0.459,-0.169,-0.861,0.193,-0.402,0.363,zscore_cs(multiply(ts_rank(ts_zscore(subtract(beta
214,-2.118,-0.738,-3.145,-0.776,-1.026,-0.039,zscore_cs(multiply(ts_rank(sma(volume_momentum_5_2
215,-1.497,0.553,-1.428,1.556,0.069,1.003,"zscore_cs(multiply(ts_rank(ts_delta(beta_to_btc, 3"
216,-3.255,-0.809,-4.083,-1.492,-0.828,-0.683,zscore_cs(multiply(ts_rank(ts_zscore(close_positio
217,-1.645,-0.516,-2.653,-0.949,-1.008,-0.433,subtract(ts_rank(add(add(ts_rank(sma(true_divide(s
218,-2.244,-0.084,-3.167,-1.056,-0.923,-0.972,subtract(ts_rank(add(add(ts_rank(sma(historical_vo
219,-1.692,-0.827,-2.375,-1.754,-0.682,-0.926,subtract(ts_rank(add(add(ts_rank(sma(true_divide(h
220,0.413,0.815,-0.082,-0.981,-0.495,-1.796,sma(zscore_cs(multiply(ts_rank(ts_zscore(true_divi
221,-0.952,-1.325,-1.377,-3.132,-0.425,-1.807,sma(zscore_cs(multiply(ts_rank(ts_zscore(true_divi
222,0.340,-1.034,0.720,-1.196,0.381,-0.161,sma(zscore_cs(multiply(ts_rank(ts_zscore(true_divi
223,1.170,-1.769,0.305,-1.425,-0.865,0.343,sma(zscore_cs(multiply(ts_rank(ts_zscore(true_divi
224,-0.388,-2.551,-0.303,-2.255,0.085,0.296,sma(zscore_cs(multiply(ts_rank(ts_zscore(true_divi
225,1.003,-2.111,0.710,-2.692,-0.293,-0.581,sma(zscore_cs(multiply(ts_rank(ts_zscore(true_divi
226,0.349,-0.331,0.106,-0.668,-0.243,-0.337,zscore_cs(sma(multiply(ts_rank(ts_zscore(true_divi
227,-0.584,-1.634,-0.589,-2.539,-0.006,-0.904,zscore_cs(sma(multiply(ts_rank(ts_zscore(true_divi
228,0.345,-2.410,0.001,-3.330,-0.343,-0.920,zscore_cs(sma(multiply(ts_rank(ts_zscore(true_divi
