Strategy,Sharpe,Fitness,Turnover,Max Drawdown
"CorrSelect(mw=0.03,mc=0.3,n=2)",+4.396,9.251,0.252,-0.034
"CorrSelect(mw=0.02,mc=0.4,n=2)",+4.388,9.258,0.218,-0.035
"CorrSelect(mw=0.02,mc=0.5,n=3)",+4.064,9.365,0.182,-0.046
"CorrSelect(mw=0.02,mc=0.6,n=3)",+4.064,9.365,0.182,-0.046
"CorrSelect(mw=0.02,mc=0.7,n=3)",+4.064,9.365,0.182,-0.046
"CorrSelect(mw=0.03,mc=0.4,n=3)",+4.001,8.982,0.213,-0.052
"CorrSelect(mw=0.03,mc=0.5,n=3)",+4.001,8.982,0.213,-0.052
"CorrSelect(mw=0.03,mc=0.6,n=3)",+4.001,8.982,0.213,-0.052
"CorrSelect(mw=0.05,mc=0.3,n=2)",+3.963,8.080,0.264,-0.038
"CorrSelect(mw=0.05,mc=0.4,n=3)",+3.806,8.538,0.223,-0.063
"CorrSelect(mw=0.05,mc=0.5,n=3)",+3.806,8.538,0.223,-0.063
"CorrSelect(mw=0.08,mc=0.3,n=2)",+3.764,7.610,0.267,-0.046
"CorrSelAdaptive(mw=0.02,mc=0.4,lb=180,n=2)",+3.739,8.142,0.176,-0.063
"CorrSelAdaptive(mw=0.02,mc=0.4,lb=280,n=2)",+3.732,8.148,0.175,-0.062
"QPOptimal(mw=0.02,lb=300,rb=30)",+3.729,7.968,0.190,-0.070
"QPOptimal(mw=0.02,lb=300,rb=60)",+3.693,7.880,0.189,-0.070
"CorrSelAdaptive(mw=0.02,mc=0.4,lb=240,n=2)",+3.679,8.001,0.175,-0.063
"QPOptimal(mw=0.02,lb=300,rb=15)",+3.670,7.791,0.190,-0.069
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=180,n=2)",+3.668,7.865,0.210,-0.063
"CorrSelect(mw=0.08,mc=0.4,n=3)",+3.646,8.187,0.224,-0.069
"CorrSelect(mw=0.08,mc=0.5,n=3)",+3.646,8.187,0.224,-0.069
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=180,n=3)",+3.605,8.187,0.162,-0.058
"CorrSelAdaptive(mw=0.02,mc=0.6,lb=180,n=3)",+3.605,8.187,0.162,-0.058
"CorrSelAdaptive(mw=0.02,mc=0.3,lb=240,n=2)",+3.590,8.648,0.147,-0.064
"CorrSelAdaptive(mw=0.02,mc=0.3,lb=280,n=2)",+3.558,8.617,0.145,-0.064
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=280,n=3)",+3.552,7.962,0.162,-0.060
"CorrSelAdaptive(mw=0.02,mc=0.6,lb=280,n=3)",+3.552,7.962,0.162,-0.060
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=240,n=3)",+3.537,7.969,0.162,-0.060
"CorrSelAdaptive(mw=0.02,mc=0.6,lb=240,n=3)",+3.537,7.969,0.162,-0.060
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=280,n=2)",+3.533,7.437,0.209,-0.059
"CorrSelect(mw=0.02,mc=0.3,n=2)",+3.526,6.840,0.213,-0.042
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=240,n=2)",+3.508,7.412,0.208,-0.061
ProperEqual(mw=0.02),+3.465,6.519,0.223,-0.038
"CorrSelAdaptive(mw=0.02,mc=0.3,lb=180,n=2)",+3.449,8.112,0.147,-0.064
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=180,n=3)",+3.422,7.476,0.194,-0.066
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=180,n=3)",+3.422,7.476,0.194,-0.066
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=180,n=3)",+3.422,7.476,0.194,-0.066
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=180,n=2)",+3.418,7.229,0.228,-0.062
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=280,n=3)",+3.412,7.452,0.191,-0.062
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=280,n=3)",+3.412,7.452,0.191,-0.062
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=280,n=3)",+3.412,7.452,0.191,-0.062
"QPOptimal(mw=0.03,lb=300,rb=30)",+3.411,6.620,0.237,-0.071
ProperEqual(mw=0.03),+3.375,6.134,0.265,-0.041
"CorrSelect(mw=0.03,mc=0.7,n=6)",+3.375,6.134,0.265,-0.041
"QPOptimal(mw=0.03,lb=300,rb=60)",+3.355,6.439,0.239,-0.072
"CorrSelAdaptive(mw=0.03,mc=0.4,lb=240,n=3)",+3.338,7.246,0.191,-0.065
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=240,n=3)",+3.338,7.246,0.191,-0.065
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=240,n=3)",+3.338,7.246,0.191,-0.065
"QPOptimal(mw=0.03,lb=300,rb=15)",+3.333,6.421,0.237,-0.071
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=180,n=3)",+3.288,7.251,0.209,-0.079
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=180,n=3)",+3.288,7.251,0.209,-0.079
ProperEqual(mw=0.05),+3.258,5.961,0.275,-0.052
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=180,n=2)",+3.228,6.712,0.235,-0.069
"QPOptimal(mw=0.02,lb=180,rb=30)",+3.188,6.045,0.197,-0.066
ProperEqual(mw=0.08),+3.155,5.797,0.276,-0.056
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=280,n=3)",+3.152,6.774,0.205,-0.075
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=280,n=3)",+3.152,6.774,0.205,-0.075
"QPOptimal(mw=0.02,lb=180,rb=15)",+3.150,5.931,0.197,-0.066
"QPOptimal(mw=0.03,lb=180,rb=15)",+3.144,5.710,0.244,-0.071
"CorrSelAdaptive(mw=0.05,mc=0.4,lb=240,n=3)",+3.117,6.679,0.205,-0.078
"CorrSelAdaptive(mw=0.05,mc=0.5,lb=240,n=3)",+3.117,6.679,0.205,-0.078
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=240,n=2)",+3.111,6.248,0.227,-0.060
"SelectSharpe(n=5,d=1)",+3.110,5.393,0.230,-0.052
"QPOptimal(mw=0.03,lb=180,rb=30)",+3.108,5.654,0.242,-0.071
"CorrSelAdaptive(mw=0.05,mc=0.3,lb=280,n=2)",+3.102,6.180,0.228,-0.059
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=180,n=3)",+3.098,6.778,0.212,-0.088
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=180,n=3)",+3.098,6.778,0.212,-0.088
"QPOptimal(mw=0.02,lb=240,rb=60)",+3.042,5.837,0.193,-0.070
"ProperAdaptive(mw=0.03,lb=180)",+3.012,5.680,0.220,-0.073
"QPOptimal(mw=0.05,lb=300,rb=30)",+2.966,5.409,0.261,-0.079
"ProperAdaptive(mw=0.03,lb=180)",+2.966,5.557,0.220,-0.074
"ProperAdaptive(mw=0.03,lb=280)",+2.944,5.554,0.215,-0.069
"QPOptimal(mw=0.02,lb=240,rb=30)",+2.943,5.524,0.194,-0.067
"CorrSelect(mw=0.05,mc=0.6,n=5)",+2.936,4.941,0.282,-0.054
"CorrSelect(mw=0.05,mc=0.7,n=5)",+2.936,4.941,0.282,-0.054
"QPOptimal(mw=0.05,lb=300,rb=15)",+2.930,5.316,0.261,-0.079
"QPOptimal(mw=0.03,lb=240,rb=30)",+2.929,5.320,0.239,-0.070
"QPOptimal(mw=0.02,lb=240,rb=15)",+2.928,5.461,0.194,-0.067
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=280,n=3)",+2.928,6.146,0.209,-0.083
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=280,n=3)",+2.928,6.146,0.209,-0.083
"QPOptimal(mw=0.05,lb=300,rb=60)",+2.921,5.271,0.264,-0.075
"CorrSelect(mw=0.08,mc=0.6,n=5)",+2.917,5.023,0.282,-0.057
"CorrSelect(mw=0.08,mc=0.7,n=5)",+2.917,5.023,0.282,-0.057
"CorrSelAdaptive(mw=0.08,mc=0.4,lb=240,n=3)",+2.913,6.111,0.209,-0.086
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=240,n=3)",+2.913,6.111,0.209,-0.086
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=240,n=2)",+2.913,5.652,0.234,-0.068
"Shrinkage(lb=240,s=0.5)",+2.903,4.780,0.235,-0.052
"CorrSelAdaptive(mw=0.08,mc=0.3,lb=280,n=2)",+2.901,5.583,0.234,-0.067
