TopNSmooth(top=2,phl=48): Sharpe 1.210, TO 0.031, DD -0.090
TopNSmooth(top=2,phl=60): Sharpe 1.310, TO 0.028, DD -0.089
TopNSmooth(top=2,phl=72): Sharpe 1.438, TO 0.026, DD -0.089
TopNSmooth(top=2,phl=90): Sharpe 1.638, TO 0.024, DD -0.088
TopNSmooth(top=2,phl=120): Sharpe 1.739, TO 0.021, DD -0.088
TopNSmooth(top=3,phl=48): Sharpe 1.234, TO 0.031, DD -0.093
TopNSmooth(top=3,phl=60): Sharpe 1.355, TO 0.028, DD -0.092
TopNSmooth(top=3,phl=72): Sharpe 1.424, TO 0.026, DD -0.092
TopNSmooth(top=3,phl=90): Sharpe 1.639, TO 0.024, DD -0.091
TopNSmooth(top=3,phl=120): Sharpe 1.807, TO 0.020, DD -0.091
TopNSmooth(top=4,phl=48): Sharpe 1.466, TO 0.031, DD -0.094
TopNSmooth(top=4,phl=60): Sharpe 1.632, TO 0.028, DD -0.093
TopNSmooth(top=4,phl=72): Sharpe 1.685, TO 0.026, DD -0.093
TopNSmooth(top=4,phl=90): Sharpe 1.841, TO 0.023, DD -0.093
TopNSmooth(top=4,phl=120): Sharpe 1.899, TO 0.020, DD -0.092
TopNSmooth(top=5,phl=48): Sharpe 1.582, TO 0.030, DD -0.094
TopNSmooth(top=5,phl=60): Sharpe 1.706, TO 0.028, DD -0.093
TopNSmooth(top=5,phl=72): Sharpe 1.771, TO 0.026, DD -0.093
TopNSmooth(top=5,phl=90): Sharpe 1.855, TO 0.024, DD -0.093
TopNSmooth(top=5,phl=120): Sharpe 1.851, TO 0.021, DD -0.093
TopNSmooth(top=6,phl=48): Sharpe 1.663, TO 0.031, DD -0.094
TopNSmooth(top=6,phl=60): Sharpe 1.797, TO 0.028, DD -0.093
TopNSmooth(top=6,phl=72): Sharpe 1.843, TO 0.026, DD -0.093
TopNSmooth(top=6,phl=90): Sharpe 1.876, TO 0.024, DD -0.093
TopNSmooth(top=6,phl=120): Sharpe 1.861, TO 0.021, DD -0.092
TopNSmooth(top=8,phl=48): Sharpe 1.639, TO 0.030, DD -0.093
TopNSmooth(top=8,phl=60): Sharpe 1.816, TO 0.028, DD -0.093
TopNSmooth(top=8,phl=72): Sharpe 1.852, TO 0.026, DD -0.092
TopNSmooth(top=8,phl=90): Sharpe 1.863, TO 0.024, DD -0.092
TopNSmooth(top=8,phl=120): Sharpe 1.792, TO 0.020, DD -0.092
